areaSource|areaSourceHigh|areaSourceLow|areaTotal|associationId|datlocation|depth|endtime|eventid|h|hHigh|hLow|hfall|hfall_high|hfall_low|l|lHigh|lLow|latitude|locuncertKm|longitude|lppotential|mass|massHigh|massLow|maxdistvhfKm|maxdistvhfReached|maxdisthfKm|maxdisthfReached|maxdistipKm|maxdistipReached|maxdistlpKm|maxdistlpReached|maxdistinfraKm|maxdistinfraReached|infraDetected|name|otherdataquality1to5|peakDischarge|peakDischargeLow|peakDischargeHigh|peakFlowheight|peakFlowheightLow|peakFlowheightHigh|starttime|sources|toeLat|toeLon|topLat|topLon|upstreamDrainarea|type|subtype|volume|volumeHigh|volumeLow
36000.00000|42000.00000|17000.00000|1100000.00000|51|IRIS, Attachments below||2005_05_15 135216|51|1400.00000|1460.00000|1300.00000||||3800.00000|4400.00000|3000.00000|59.98100|0.10000|-153.06354|0||||||13.00000|True|||0.00000|||||South Twin 1|3|||||||2005_05_15 134616|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|59.95950|-153.01577|59.98100|-153.06354||rock avalanche|Rock/ice/debris avalanches and slides|91000.00000|140000.00000|62000.00000
||||72|IRIS, Attachments below||2005_05_15 181618|72|1400.00000|1460.00000|1300.00000||||3800.00000|4400.00000|3000.00000|59.98100|0.10000|-153.06354|0||||||52.00000|True|||0.00000|||||South Twin 8|3|||||||2005_05_15 181525|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|59.95950|-153.01577|59.98100|-153.06354||rock avalanche|Rock/ice/debris avalanches and slides|44000.00000|66000.00000|30000.00000
2600000.00000|4000000.00000|1900000.00000|22000000.00000|81|IRIS||2016_06_28 162606|81|1500.00000||||||10000.00000|||58.77918|0.00000|-136.88827|1||||||1002.00000|True|||500.00000|False||||Lamplugh Glacier|4|||||||2016_06_28 162103|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|58.82433|-136.88114|58.73174|-136.89472||rock avalanche|Rock/ice/debris avalanches and slides|64000000.00000|66800000.00000|61200000.00000
22000.00000|57000.00000||120000.00000|74|IRIS, NCEDC||2009_03_28 122804|74|560.00000||||||550.00000|||37.75212|0.00000|-119.54105|0||||||366.00000|True|||0.00000|||||Ahwiyah Point|5|||||||2009_03_28 122601|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|37.75346|-119.54335|37.75107|-119.53808||rock avalanche|Rock/ice/debris avalanches and slides|46700.00000||
|||595000.00000|130|IRIS||2013_06_14 124925|130|318.00000||||||1230.00000|||58.79060|0.00000|-137.35280|0||||||251.00000|True|||0.00000|||||Johns Hopkins Glacier|4|||||||2013_06_14 124818|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|58.80075|-137.34997|58.79060|-137.35280||rock avalanche|Rock/ice/debris avalanches and slides|||
170000.00000|260000.00000|110000.00000|1400000.00000|160|IRIS||2018_07_11 003749|160|1300.00000|1400.00000|1100.00000||||3600.00000|4100.00000|2900.00000|60.03360|0.30000|-153.07600|0||||||172.00000|True|||0.00000||0.00000||False|Red Glacier, Iliamna|4|||||||2018_07_11 002406|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|60.02110|-153.02050|60.03360|-153.07600||ice avalanche|Rock/ice/debris avalanches and slides|2460000.00000|6150000.00000|1230000.00000
||||89|IRIS, NCEDC||2007_12_19 014337|89||||||||||37.73890||-119.61430|0||||||1.00000|True|||0.00000|||||Middle Brother|5|||||||2007_12_19 014225|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||rock fall|Rock/debris falls|10.00000||
||||49|IRIS||2014_10_03 031723|49|1000.00000|1200.00000|900.00000||||2000.00000|2400.00000|1800.00000|60.03175|0.10000|-153.07788|0||||||60.00000|True|||0.00000|||||Iliamna|2|||||||2014_10_03 031644|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|60.02646|-153.04279|60.03175|-153.07788||rock fall|Rock/debris falls|||
||||36|IRIS||2015_08_19 185136|36||||||||||46.83887|1.00000|-121.76875|0||||||79.00000|True|||0.00000|||||Mount Rainier|3|||||||2015_08_19 184950|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||rock fall|Rock/debris falls|||
||||94|IRIS, NCEDC||2008_12_15 102441|94||||||||||37.73890||-119.61430|0||||||1.00000|True|||0.00000|||||Middle Brother|5|||||||2008_12_15 102407|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||rock fall|Rock/debris falls|10.00000||
