time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2025-02-26T21:43:20.189Z,40.6383,-109.496,0,2.8,ml,48,48,0.088,0.54,us,us6000pvpq,2025-05-08T19:24:39.040Z,"19 km NNE of Maeser, Utah",mining explosion,1.44,1.688,0.038,90,reviewed,us,us
2025-02-25T21:02:18.124Z,43.8317,-105.3816,0,3.4,ml,28,82,1.014,0.45,us,us6000pvfw,2025-05-06T21:39:20.040Z,"12 km NE of Wright, Wyoming",mining explosion,6.26,1.742,0.059,38,reviewed,us,us
2025-02-24T21:44:16.401Z,43.6092,-105.2159,0,3,ml,13,148,0.995,0.48,us,us6000px24,2025-05-06T21:39:20.040Z,"27 km SE of Wright, Wyoming",mining explosion,5.32,1.666,0.069,28,reviewed,us,us
2025-02-24T19:12:23.591Z,43.731,-105.3708,0,3.4,ml,21,78,1.04,0.43,us,us6000pv6w,2025-05-06T21:39:20.040Z,"10 km ESE of Wright, Wyoming",mining explosion,6.12,1.735,0.128,8,reviewed,us,us
2025-02-19T22:06:34.795Z,40.6286,-109.4101,0,3.3,ml,38,86,0.134,0.72,us,us6000pvv4,2025-05-06T21:39:20.040Z,"21 km NNE of Vernal, Utah",mining explosion,2.4,1.699,0.036,102,reviewed,us,us
2025-02-18T22:54:31.195Z,43.493,-105.2707,0,2.8,ml,13,116,1.093,0.64,us,us6000pvng,2025-05-02T16:26:14.040Z,"33 km SSE of Wright, Wyoming",mining explosion,5.67,1.796,0.074,24,reviewed,us,us
2025-02-17T21:03:11.714Z,39.3586,-106.1439,0,2.4,ml,9,79,0.602,0.58,us,us7000peca,2025-05-02T16:26:21.040Z,"10 km NW of Alma, Colorado",mining explosion,1.46,1.569,0.05,52,reviewed,us,us
2025-02-15T20:08:36.673Z,43.6536,-105.2302,0,3,ml,15,76,0.982,0.66,us,us7000pe0j,2025-05-02T16:26:19.040Z,"23 km ESE of Wright, Wyoming",mining explosion,4.5,1.824,0.115,10,reviewed,us,us
2025-02-14T18:04:49.262Z,43.7362,-105.4083,0,3.4,ml,44,42,1.064,0.64,us,us7000pdt7,2025-05-02T16:26:18.040Z,"6 km ESE of Wright, Wyoming",mining explosion,6.17,1.736,0.037,94,reviewed,us,us
2025-02-06T20:11:05.297Z,43.5384,-105.2602,0,3,ml,16,79,1.06,0.81,us,us7000pbxm,2025-04-26T14:47:03.040Z,"30 km SE of Wright, Wyoming",mining explosion,5.22,1.7,0.148,6,reviewed,us,us
2025-02-05T21:00:53.995Z,43.7908,-105.3479,0,3.6,ml,23,59,1.003,0.55,us,us7000pbna,2025-04-26T14:47:02.040Z,"12 km ENE of Wright, Wyoming",mining explosion,6.71,1.734,0.051,54,reviewed,us,us
2025-02-05T18:59:10.693Z,43.8598,-105.331,0,3.1,ml,13,114,0.971,0.64,us,us7000pdgm,2025-04-26T14:47:09.040Z,"17 km NE of Wright, Wyoming",mining explosion,8.78,1.758,0.077,22,reviewed,us,us
2025-02-03T23:34:42.899Z,43.4419,-105.2614,0,2.6,ml,15,82,1.118,1.33,us,us7000pb4h,2025-04-15T20:55:31.040Z,"39 km SSE of Wright, Wyoming",mining explosion,4.77,1.083,0.069,28,reviewed,us,us
2025-02-01T23:43:32.708Z,43.8223,-105.2455,0,2.9,ml,13,127,0.923,0.87,us,us7000pc61,2025-04-15T20:55:33.040Z,"21 km ENE of Wright, Wyoming",mining explosion,5.87,1.811,0.074,24,reviewed,us,us
2025-02-01T21:02:59.607Z,43.6955,-105.3686,0,3.3,ml,40,71,1.053,1.27,us,us7000pape,2025-04-15T20:55:27.040Z,"11 km ESE of Wright, Wyoming",mining explosion,5.31,1.73,0.052,48,reviewed,us,us
2025-01-30T20:56:49.725Z,43.6341,-105.3691,0,2.9,ml,20,73,1.08,0.23,us,us7000pa5u,2025-04-15T20:55:25.040Z,"16 km SE of Wright, Wyoming",mining explosion,5.59,1.475,0.115,10,reviewed,us,us
2025-01-29T21:04:00.309Z,43.6941,-105.3596,0,3.5,ml,19,76,1.048,0.28,us,us7000p9x5,2025-04-15T20:55:24.040Z,"12 km ESE of Wright, Wyoming",mining explosion,7.25,1.74,0.042,84,reviewed,us,us
2025-01-23T20:02:01.877Z,43.675,-105.3158,0,3.2,ml,21,75,1.027,0.44,us,us6000plws,2025-04-08T22:00:58.040Z,"16 km ESE of Wright, Wyoming",mining explosion,6.34,1.722,0.115,10,reviewed,us,us
2025-01-18T22:55:31.665Z,43.81,-105.3717,0,2.7,ml,11,127,1.014,0.99,us,us7000p9mq,2025-03-29T22:12:47.040Z,"11 km NE of Wright, Wyoming",mining explosion,10.53,1.825,0.071,26,reviewed,us,us
2025-01-17T22:28:43.668Z,43.6867,-105.2415,0,3.2,ml,19,75,0.974,0.79,us,us6000pkuh,2025-03-29T22:12:42.040Z,"21 km ESE of Wright, Wyoming",mining explosion,7.21,1.81,0.05,52,reviewed,us,us
2025-01-17T19:59:59.170Z,43.8057,-105.3536,0,3.3,ml,28,111,1.002,0.7,us,us6000pkt9,2025-03-29T22:12:42.040Z,"12 km ENE of Wright, Wyoming",mining explosion,6.93,1.758,0.062,34,reviewed,us,us
2025-01-14T22:39:22.158Z,43.7974,-105.367,0,3.5,ml,28,58,1.014,0.59,us,us6000pk13,2025-03-20T20:54:43.040Z,"11 km ENE of Wright, Wyoming",mining explosion,6.24,1.756,0.045,64,reviewed,us,us
2025-01-11T20:08:41.190Z,43.7286,-105.3516,0,3.1,ml,52,62,1.029,0.65,us,us6000pln8,2025-03-20T20:54:44.040Z,"11 km ESE of Wright, Wyoming",mining explosion,5.59,1.833,0.042,76,reviewed,us,us
2025-01-10T23:00:27.633Z,43.68,-105.202,0,2.8,ml,11,129,0.951,0.65,us,us6000plm7,2025-03-20T20:54:44.040Z,"24 km ESE of Wright, Wyoming",mining explosion,4.58,1.542,0.081,20,reviewed,us,us
2025-01-10T18:04:17.772Z,43.5797,-105.3996,0,3.1,ml,49,60,1.125,1.04,us,us6000plm6,2025-03-20T20:54:44.040Z,"20 km SSE of Wright, Wyoming",mining explosion,5.25,1.38,0.045,64,reviewed,us,us
2025-01-08T21:34:13.019Z,43.5688,-105.2754,0,2.7,ml,18,126,1.053,0.53,us,us6000plaf,2025-03-20T20:54:43.040Z,"26 km SE of Wright, Wyoming",mining explosion,4.51,1.339,0.062,34,reviewed,us,us
2025-01-07T22:26:15.331Z,43.7183,-105.3094,0,2.7,ml,15,103,1.005,0.55,us,us6000pkrx,2025-03-17T21:35:14.040Z,"15 km ESE of Wright, Wyoming",mining explosion,2.47,1.674,0.071,26,reviewed,us,us
2025-01-07T18:06:38.683Z,43.6758,-105.322,0,2.7,ml,13,125,1.031,0.41,us,us6000pkrw,2025-03-17T21:35:12.040Z,"16 km ESE of Wright, Wyoming",mining explosion,4.02,1.787,0.069,32,reviewed,us,us
2025-01-06T20:39:58.609Z,43.8258,-105.2485,0,2.7,ml,16,127,0.924,0.54,us,us6000pknt,2025-03-17T21:34:59.040Z,"21 km ENE of Wright, Wyoming",mining explosion,5.37,1.81,0.062,34,reviewed,us,us
2025-01-05T21:13:57.724Z,43.7502,-105.3745,0,2.4,ml,7,120,1.036,0.64,us,us6000pkhb,2025-03-17T21:34:48.040Z,"9 km E of Wright, Wyoming",mining explosion,5.57,1.725,0.115,10,reviewed,us,us
2025-01-04T21:00:51.118Z,43.8286,-105.2885,0,3.5,ml,13,127,0.95,0.68,us,us6000phwb,2025-03-17T21:34:39.040Z,"18 km ENE of Wright, Wyoming",mining explosion,8.1,1.486,0.05,52,reviewed,us,us
2025-01-01T21:07:00.655Z,43.5491,-105.3661,0,3,ml,9,130,1.12,0.64,us,us6000pjs0,2025-03-17T21:34:09.040Z,"24 km SSE of Wright, Wyoming",mining explosion,4.39,1.174,0.064,36,reviewed,us,us
2024-12-30T21:24:23.760Z,43.6297,-105.2688,0,3,ml,14,114,1.018,1.33,us,us6000pj6z,2025-03-08T22:39:16.040Z,"22 km SE of Wright, Wyoming",mining explosion,7.03,1.638,0.074,24,reviewed,us,us
2024-12-30T20:26:15.738Z,43.6483,-105.3656,0,2.3,ml,21,74,1.071,0.62,us,us6000pj78,2025-03-08T22:39:08.040Z,"15 km SE of Wright, Wyoming",mining explosion,7.28,1.021,0.128,8,reviewed,us,us
2024-12-29T21:57:27.181Z,43.7063,-105.2677,0,2.6,ml,15,73,0.982,0.53,us,us6000pize,2025-03-08T22:39:16.040Z,"18 km ESE of Wright, Wyoming",mining explosion,6.79,1.714,0.074,24,reviewed,us,us
2024-12-24T22:57:49.452Z,43.7191,-105.3528,0,2.8,ml,16,70,1.033,0.51,us,us6000pi75,2025-03-08T22:39:15.040Z,"11 km ESE of Wright, Wyoming",mining explosion,3.78,1.63,0.069,28,reviewed,us,us
2024-12-22T21:01:06.650Z,43.7878,-105.3065,0,3.3,ml,19,81,0.976,0.61,us,us7000p0sr,2025-02-27T17:30:47.040Z,"15 km ENE of Wright, Wyoming",mining explosion,5.24,1.728,0.056,42,reviewed,us,us
2024-12-20T20:57:57.157Z,43.747,-105.2197,0,3.2,ml,25,79,0.933,0.94,us,us7000p0gy,2025-02-27T17:30:47.040Z,"21 km E of Wright, Wyoming",mining explosion,7.55,1.734,0.045,66,reviewed,us,us
2024-12-19T18:16:56.670Z,40.5253333333333,-112.154166666667,-2,1.37,md,16,64,0.06135,0.19,uu,uu80098121,2024-12-19T20:08:35.400Z,"4 km SSW of Bingham Canyon, Utah",quarry blast,0.4,31.61,0.372639968649997,10,reviewed,uu,uu
2024-12-19T17:54:41.520Z,40.581,-111.379666666667,-2,1.84,ml,11,113,0.03369,0.23,uu,uu80098116,2024-12-19T19:12:01.680Z,"6 km SSE of Hideout, Utah",quarry blast,0.82,31.61,0.0385746667415411,2,reviewed,uu,uu
2024-12-08T21:02:32.952Z,43.7699,-105.3879,0,3.3,ml,18,112,1.038,0.74,us,us7000nx4j,2025-02-15T18:31:09.040Z,"8 km ENE of Wright, Wyoming",mining explosion,5.73,1.591,0.049,54,reviewed,us,us
2024-12-06T19:02:23.691Z,43.7915,-105.3316,0,3.6,ml,50,41,0.992,0.55,us,us7000nwpk,2025-02-15T18:30:30.040Z,"13 km ENE of Wright, Wyoming",mining explosion,6.08,1.761,0.035,110,reviewed,us,us
2024-12-05T20:08:42.784Z,43.7106,-105.3095,0,3.1,ml,19,77,1.008,0.69,us,us7000nzu5,2025-02-15T18:31:37.040Z,"15 km ESE of Wright, Wyoming",mining explosion,7.29,1.737,0.115,10,reviewed,us,us
2024-12-02T19:01:12.103Z,43.7416,-105.3737,0,3.3,ml,25,79,1.038,0.44,us,us7000nvha,2025-02-15T18:29:02.040Z,"9 km E of Wright, Wyoming",mining explosion,5.91,1.482,0.115,10,reviewed,us,us
