,areaSource,areaSourceHigh,areaSourceLow,areaTotal,associationId,datlocation,depth,endtime,eventid,h,hHigh,hLow,hfall,hfall_high,hfall_low,l,lHigh,lLow,latitude,locuncertKm,longitude,lppotential,mass,massHigh,massLow,maxdistvhfKm,maxdistvhfReached,maxdisthfKm,maxdisthfReached,maxdistipKm,maxdistipReached,maxdistlpKm,maxdistlpReached,maxdistinfraKm,maxdistinfraReached,infraDetected,name,otherdataquality1to5,peakDischarge,peakDischargeLow,peakDischargeHigh,peakFlowheight,peakFlowheightLow,peakFlowheightHigh,starttime,sources,toeLat,toeLon,topLat,topLon,upstreamDrainarea,type,subtype,volume,volumeHigh,volumeLow
48,,,,,307,"IRIS, RESIF, ETH, INGV",,2023_06_15 213949,307,,,,,,,,,,46.6758,0.2,9.5936,0,,,,,,240.0,True,,,0.0,,,,,"Brienz-Brinzauls, Switzerland",4,,,,,,,2023_06_15 213742,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,rock slide,Rock/ice/debris avalanches and slides,2000000.0,,1200000.0
49,,,,,282,"NCEDC, IRIS",,2021_09_10 141412,282,,,,,,,,,,41.4293,0.5,-122.2059,0,,,,10.0,1.0,12.0,True,,,0.0,,0.0,,,"Whitney Creek, Mount Shasta",4,,,,,,,2021_09_10 080231,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
50,,,,,303,"IRIS, ETH",,2015_10_19 072542,303,1020.0,1060.0,970.0,,,,1700.0,,,46.1012,0.0,7.4657,0,,,,,,46.0,True,,,0.0,,,,,"Mel de la Niva, Switzerland",5,,,,,,,2015_10_19 072351,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.1081,7.4842,46.1012,7.4657,,rock fall,Rock/debris falls,1750.0,2000.0,1500.0
51,,,,1100000.0,304,"INGV, RESIF, ETH",,2005_08_25 023804,304,1700.0,,,,,,3000.0,,,45.9356,,7.88,1,,,,,,299.0,True,,,280.0,True,,,,"Monte Rosa, Italy",5,,,,,,,2005_08_25 023611,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,ice avalanche,Rock/ice/debris avalanches and slides,1400000.0,,
52,,,,,289,IRIS,,2022_10_11 214603,289,,,,,,,,,,45.3663,0.2,-121.6975,0,,,,,,35.0,True,,,0.0,,,,,"Steel Cliffs, Mount Hood",2,,,,,,,2022_10_11 214450,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,rock fall,Rock/debris falls,,,
53,,,,1090000.0,268,IRIS,,2009_08_08 222128,268,650.0,,,,,,3000.0,,,23.162,0.0,120.644,1,,,,,,219.0,True,,,282.0,False,,,,"Hsiaolin, Taiwan",5,70649.0,,,,,,2009_08_08 221616,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,519.5,"debris avalanche, debris flow",Rock/ice/debris avalanches and slides,25000000.0,26000000.0,22000000.0
54,,,,1900000.0,311,"IRIS, ORFEUS",,2023_08_03 121915,311,1800.0,1900.0,1700.0,,,,15900.0,16200.0,15700.0,42.7397,0.1,43.7615,0,,,,,,269.0,True,,,0.0,,,,,"Tbilisa Glacier-Shovi 2, Georgia",4,,,,,,,2023_08_03 105906,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",42.7032,43.5946,42.7397,43.7615,,"outburst flood, debris flow",Lahar/debris flow/outburst flood,2000000.0,5000000.0,1100000.0
55,,,,,274,IRIS,,2018_10_10 141336,274,850.0,,,,,,1400.0,,,31.0828,0.0,98.6982,1,,,,,,771.0,True,,,1090.0,False,,,,"Baige, Tibet",5,,,,,,,2018_10_10 140936,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",31.0811,98.7217,31.0828,98.6982,,rock slide,Rock/ice/debris avalanches and slides,24500000.0,,
56,57000.0,76000.0,37000.0,950000.0,294,IRIS,,2022_09_15 050544,294,700.0,750.0,650.0,,,,1800.0,1900.0,1700.0,60.1648,0.0,-148.9901,1,9000000000.0,,,,,499.0,False,,,500.0,False,,,False,Ellsworth Glacier,4,,,,,,,2022_09_15 050134,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",60.1531,-148.9761,60.1648,-148.9901,,rock avalanche,Rock/ice/debris avalanches and slides,2100000.0,3100000.0,1400000.0
57,,,,,332,IRIS,,2023_05_28 172019,332,900.0,1100.0,700.0,,,,1200.0,1300.0,1000.0,46.8668,0.2,-121.7702,0,,,,,,40.0,True,,,0.0,,17.0,True,True,"Willis Wall, Mount Rainier",4,,,,,,,2023_05_28 171838,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.8769,-121.7655,46.8668,-121.7702,,ice fall,Rock/debris falls,,,
