starttime,endtime,label,date,max_prob,mean_prob
14400.0,14570.0,surface,2025-06-30,0.8058484971523285,0.4086561737012946
14760.0,14840.0,surface,2025-06-30,0.7695203986018897,0.4838483107090472
18340.0,18460.0,surface,2025-06-30,0.6579455554485322,0.3720294942481604
19990.0,20100.0,surface,2025-06-30,0.9684613466262817,0.6153584356834806
20450.0,20520.0,surface,2025-06-30,0.76174556016922,0.4716312363416364
21720.0,21790.0,surface,2025-06-30,0.599758979678154,0.381919097271566
22030.0,22170.0,surface,2025-06-30,0.5665322989225388,0.3657531041744066
880.0,950.0,surface,2025-06-30,0.6051234394311905,0.4079881800897738
1750.0,1820.0,surface,2025-06-30,0.5064025849103928,0.30332166451801545
2020.0,2100.0,surface,2025-06-30,0.6487184643745423,0.4069783848972722
2180.0,2300.0,surface,2025-06-30,0.7043789327144623,0.4162648742704383
5780.0,5850.0,surface,2025-06-30,0.5588616192340851,0.35975529936622475
9870.0,9980.0,surface,2025-06-30,0.6377902060747147,0.3471036444113755
11860.0,11960.0,surface,2025-06-30,0.6158381938934328,0.3817621922072828
13280.0,13350.0,surface,2025-06-30,0.5697143334895373,0.3543992069273372
2960.0,3080.0,surface,2025-06-30,0.6150288969278336,0.37826714363549435
3290.0,3360.0,surface,2025-06-30,0.6119476824998855,0.39972937583937024
4510.0,4570.0,surface,2025-06-30,0.5349530572653748,0.3418853159274217
6440.0,6510.0,surface,2025-06-30,0.6706402532756329,0.4078441524383969
7230.0,7300.0,surface,2025-06-30,0.7025497004389764,0.425246547648203
8140.0,8260.0,surface,2025-06-30,0.5472703665494919,0.3517478900019621
10950.0,11040.0,surface,2025-06-30,0.7669205248355865,0.4456002898468796
11840.0,11950.0,surface,2025-06-30,0.9878664374351501,0.6740485407184679
12940.0,13020.0,surface,2025-06-30,0.7189089387655258,0.40370290611075077
14030.0,14140.0,surface,2025-06-30,0.7178161799907685,0.4636461193525239
16450.0,16520.0,surface,2025-06-30,0.6048593586310745,0.37785979660863955
18370.0,18440.0,surface,2025-06-30,0.5358890980482103,0.3477365153725259
21280.0,21360.0,surface,2025-06-30,0.8845187902450562,0.5319951837468478
23860.0,23950.0,surface,2025-06-30,0.8089108347892762,0.4515604539584137
25140.0,25240.0,surface,2025-06-30,0.9893556356430054,0.5091649103068697
25400.0,25470.0,surface,2025-06-30,0.5790311507880688,0.3874655587468624
29350.0,29420.0,surface,2025-06-30,0.6293586388230323,0.3886214305479371
30070.0,30180.0,surface,2025-06-30,0.7298877835273743,0.4673574166954799
